Ammonia,Benzene,CNG,CO,Hydrogen,LPG,Smoke
13.86592,9.20413,27.49427,18.81956,6.35378,13.22827,8.41799
13.72663,9.08106,27.49427,18.70981,6.2447,13.04629,8.30218
13.7033,9.08106,27.44016,18.70981,6.2447,13.04629,8.30218
13.7033,9.06048,27.44016,18.68232,6.22649,13.04629,8.28281
13.67993,9.03989,27.44016,18.68232,6.22649,13.01585,8.28281
13.72663,9.08106,27.38613,18.70981,6.2629,13.07669,8.32153
13.67993,9.03989,27.44016,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.44016,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.06048,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.68232,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.38613,18.65481,6.22649,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,12.98538,8.26342
13.67993,9.03989,27.38613,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,13.01585,8.28281
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.22649,12.98538,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.28281
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.22649,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,13.01585,8.26342
13.67993,9.03989,27.33218,18.65481,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.19006,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.26342
13.67993,9.03989,27.33218,18.62728,6.20828,12.98538,8.28281
